Ô..PMID	Title	Authors	Citation	First.Author	Journal.Book	Publication.Year	Create.Date	PMCID	NIHMS.ID	DOI	Data Available 	Open Access	 Code Available 	Notes
26900567	Dissociation of working memory impairments and attention-deficit/hyperactivity disorder in the brain	"Mattfeld AT, Whitfield-Gabrieli S, Biederman J, Spencer T, Brown A, Fried R, Gabrieli JD."	Neuroimage Clin. 2015 Dec 10;10:274-82. doi: 10.1016/j.nicl.2015.12.003. eCollection 2016.	Mattfeld AT	Neuroimage Clin	2015	2016-02-23	PMC4723732		10.1016/j.nicl.2015.12.003	FALSE	TRUE	FALSE	
26502936	Fronto-cerebellar dysfunction and dysconnectivity underlying cognition in friedreich ataxia: The IMAGE-FRDA study	"Harding IH, Corben LA, Storey E, Egan GF, Stagnitti MR, Poudel GR, Delatycki MB, Georgiou-Karistianis N."	Hum Brain Mapp. 2016 Jan;37(1):338-50. doi: 10.1002/hbm.23034. Epub 2015 Oct 27.	Harding IH	Hum Brain Mapp	2016	2015-10-28	PMC6867314		10.1002/hbm.23034	FALSE	TRUE	FALSE	
22006639	Cholinergic blockade under working memory demands encountered by increased rehearsal strategies: evidence from fMRI in healthy subjects	"Voss B, Thienel R, Reske M, Kellermann T, Sheldrick AJ, Halfter S, Radenbach K, Shah NJ, Habel U, Kircher TT."	Eur Arch Psychiatry Clin Neurosci. 2012 Jun;262(4):329-39. doi: 10.1007/s00406-011-0267-6. Epub 2011 Oct 18.	Voss B	Eur Arch Psychiatry Clin Neurosci	2012	2011-10-19			10.1007/s00406-011-0267-6	FALSE	FALSE	FALSE	
16921178	fMRI revealed neural substrate for reversible working memory dysfunction in subclinical hypothyroidism	"Zhu DF, Wang ZX, Zhang DR, Pan ZL, He S, Hu XP, Chen XC, Zhou JN."	Brain. 2006 Nov;129(Pt 11):2923-30. doi: 10.1093/brain/awl215. Epub 2006 Aug 18.	Zhu DF	Brain	2006	2006-08-22			10.1093/brain/awl215	FALSE	TRUE	FALSE	
23747286	Multi-site reproducibility of prefrontal-hippocampal connectivity estimates by stochastic DCM	"Bernal-Casas D, Balaguer-Ballester E, Gerchen MF, Iglesias S, Walter H, Heinz A, Meyer-Lindenberg A, Stephan KE, Kirsch P."	Neuroimage. 2013 Nov 15;82:555-63. doi: 10.1016/j.neuroimage.2013.05.120. Epub 2013 Jun 5.	Bernal-Casas D	Neuroimage	2013	2013-06-11			10.1016/j.neuroimage.2013.05.120	FALSE	FALSE	FALSE	
25019681	Temporal unpredictability of a stimulus sequence affects brain activation differently depending on cognitive task demands	"Koppe G, Gruppe H, Sammer G, Gallhofer B, Kirsch P, Lis S."	Neuroimage. 2014 Nov 1;101:236-44. doi: 10.1016/j.neuroimage.2014.07.008. Epub 2014 Jul 12.	Koppe G	Neuroimage	2014	2014-07-15			10.1016/j.neuroimage.2014.07.008	FALSE	FALSE	FALSE	
18280843	Functional magnetic resonance imaging and working memory in adolescents with gestational cocaine exposure	"Hurt H, Giannetta JM, Korczykowski M, Hoang A, Tang KZ, Betancourt L, Brodsky NL, Shera DM, Farah MJ, Detre JA."	J Pediatr. 2008 Mar;152(3):371-7. doi: 10.1016/j.jpeds.2007.08.006. Epub 2007 Nov 5.	Hurt H	J Pediatr	2008	2008-02-19			10.1016/j.jpeds.2007.08.006	FALSE	FALSE	FALSE	
16038685	Brain activity in cigarette smokers performing a working memory task: effect of smoking abstinence	"Xu J, Mendrek A, Cohen MS, Monterosso J, Rodriguez P, Simon SL, Brody A, Jarvik M, Domier CP, Olmstead R, Ernst M, London ED."	Biol Psychiatry. 2005 Jul 15;58(2):143-50. doi: 10.1016/j.biopsych.2005.03.028.	Xu J	Biol Psychiatry	2005	2005-07-26	PMC2773671	NIHMS151732	10.1016/j.biopsych.2005.03.028	FALSE	TRUE	FALSE	Clinical Trial
18037687	Functional MRI in NPSLE patients reveals increased parietal and frontal brain activation during a working memory task compared with controls	"Fitzgibbon BM, Fairhall SL, Kirk IJ, Kalev-Zylinska M, Pui K, Dalbeth N, Keelan S, Robinson E, During M, McQueen FM."	Rheumatology (Oxford). 2008 Jan;47(1):50-3. doi: 10.1093/rheumatology/kem287. Epub 2007 Nov 24.	Fitzgibbon BM	Rheumatology (Oxford)	2008	2007-11-27			10.1093/rheumatology/kem287	FALSE	TRUE	FALSE	
26955513	"Characterizing ""fibrofog"": Subjective appraisal, objective performance, and task-related brain activity during a working memory task"	"Walitt B, ƒåeko M, Khatiwada M, Gracely JL, Rayhan R, VanMeter JW, Gracely RH."	Neuroimage Clin. 2016 Feb 2;11:173-180. doi: 10.1016/j.nicl.2016.01.021. eCollection 2016.	Walitt B	Neuroimage Clin	2016	2016-03-09	PMC4761650		10.1016/j.nicl.2016.01.021	FALSE	TRUE	FALSE	
27233825	Working memory contributes to the encoding of object location associations: Support for a 3-part model of object location memory	"Gillis MM, Garcia S, Hampstead BM."	Behav Brain Res. 2016 Sep 15;311:192-200. doi: 10.1016/j.bbr.2016.05.037. Epub 2016 May 24.	Gillis MM	Behav Brain Res	2016	2016-05-29			10.1016/j.bbr.2016.05.037	FALSE	FALSE	FALSE	
16095920	A special role for numbers in working memory? An fMRI study	"Knops A, Nuerk HC, Fimm B, Vohn R, Willmes K."	Neuroimage. 2006 Jan 1;29(1):1-14. doi: 10.1016/j.neuroimage.2005.07.009. Epub 2005 Aug 10.	Knops A	Neuroimage	2006	2005-08-13			10.1016/j.neuroimage.2005.07.009				
33495122	Regional Brain Correlates of Beta Bursts in Health and Psychosis: A Concurrent Electroencephalography and Functional Magnetic Resonance Imaging Study	"Briley PM, Liddle EB, Simmonite M, Jansen M, White TP, Balain V, Palaniyappan L, Bowtell R, Mullinger KJ, Liddle PF."	Biol Psychiatry Cogn Neurosci Neuroimaging. 2021 Dec;6(12):1145-1156. doi: 10.1016/j.bpsc.2020.10.018. Epub 2020 Nov 5.	Briley PM	Biol Psychiatry Cogn Neurosci Neuroimaging	2021	2021-01-26	PMC8648891		10.1016/j.bpsc.2020.10.018				
28688343	Evidence for the triadic model of adolescent brain development: Cognitive load and task-relevance of emotion differentially affect adolescents and adults	"Mueller SC, Cromheeke S, Siugzdaite R, Nicolas Boehler C."	Dev Cogn Neurosci. 2017 Aug;26:91-100. doi: 10.1016/j.dcn.2017.06.004. Epub 2017 Jun 28.	Mueller SC	Dev Cogn Neurosci	2017	2017-07-09	PMC6987860		10.1016/j.dcn.2017.06.004				
21922599	Different duration of at-risk mental state associated with neurofunctional abnormalities. A multimodal imaging study	"Smieskova R, Allen P, Simon A, Aston J, Bendfeldt K, Drewe J, Gruber K, Gschwandtner U, Klarhoefer M, Lenz C, Scheffler K, Stieglitz RD, Radue EW, McGuire P, Riecher-R√∂ssler A, Borgwardt SJ."	Hum Brain Mapp. 2012 Oct;33(10):2281-94. doi: 10.1002/hbm.21360. Epub 2011 Sep 16.	Smieskova R	Hum Brain Mapp	2012	2011-09-17	PMC6870404		10.1002/hbm.21360				
29526647	Neural mechanisms of two different verbal working memory tasks: A VLSM study	"Ivanova MV, Dragoy O, Kuptsova SV, Yu Akinina S, Petrushevskii AG, Fedina ON, Turken A, Shklovsky VM, Dronkers NF."	Neuropsychologia. 2018 Jul 1;115:25-41. doi: 10.1016/j.neuropsychologia.2018.03.003. Epub 2018 Mar 8.	Ivanova MV	Neuropsychologia	2018	2018-03-13	PMC6658104	NIHMS953237	10.1016/j.neuropsychologia.2018.03.003				
26132286	Successful Working Memory Processes and Cerebellum in an Elderly Sample: A Neuropsychological and fMRI Study	"Luis EO, Arrondo G, Vidorreta M, Mart√≠nez M, Loayza F, Fern√°ndez-Seara MA, Pastor MA."	PLoS One. 2015 Jul 1;10(7):e0131536. doi: 10.1371/journal.pone.0131536. eCollection 2015.	Luis EO	PLoS One	2015	2015-07-02	PMC4488500		10.1371/journal.pone.0131536				
25711502	The effect of ANK3 bipolar-risk polymorphisms on the working memory circuitry differs between loci and according to risk-status for bipolar disorder	"Delvecchio G, Dima D, Frangou S."	Am J Med Genet B Neuropsychiatr Genet. 2015 Apr;168B(3):188-96. doi: 10.1002/ajmg.b.32294. Epub 2015 Feb 25.	Delvecchio G	Am J Med Genet B Neuropsychiatr Genet	2015	2015-02-26			10.1002/ajmg.b.32294				
21077136	Modulation of steady state functional connectivity in the default mode and working memory networks by cognitive load	"Newton AT, Morgan VL, Rogers BP, Gore JC."	Hum Brain Mapp. 2011 Oct;32(10):1649-59. doi: 10.1002/hbm.21138. Epub 2010 Nov 12.	Newton AT	Hum Brain Mapp	2011	2010-11-16	PMC3116941	NIHMS241089	10.1002/hbm.21138				
28291572	Noradrenaline transporter blockade increases fronto-parietal functional connectivity relevant for working memory	"Hernaus D, Casales Santa MM, Offermann JS, Van Amelsvoort T."	Eur Neuropsychopharmacol. 2017 Apr;27(4):399-410. doi: 10.1016/j.euroneuro.2017.02.004. Epub 2017 Mar 11.	Hernaus D	Eur Neuropsychopharmacol	2017	2017-03-15			10.1016/j.euroneuro.2017.02.004				
32033106	Combining HF rTMS over the Left DLPFC with Concurrent Cognitive Activity for the Offline Modulation of Working Memory in Healthy Volunteers: A Proof-of-Concept Study	"Bakulin I, Zabirova A, Lagoda D, Poydasheva A, Cherkasova A, Pavlov N, Kopnin P, Sinitsyn D, Kremneva E, Fedorov M, Gnedovskaya E, Suponeva N, Piradov M."	Brain Sci. 2020 Feb 4;10(2):83. doi: 10.3390/brainsci10020083.	Bakulin I	Brain Sci	2020	2020-02-09	PMC7071618		10.3390/brainsci10020083				
34571357	The influence of emotion on working memory: Exploratory fMRI findings among men with histories of childhood sexual abuse	"Chiasson C, Moorman J, Romano E, Vezarov M, Cameron A, Smith A."	Child Abuse Negl. 2021 Dec;122:105340. doi: 10.1016/j.chiabu.2021.105340. Epub 2021 Sep 24.	Chiasson C	Child Abuse Negl	2021	2021-09-27			10.1016/j.chiabu.2021.105340				
34479502	Impairment of the visuospatial working memory in the patients with Parkinson's Disease: an fMRI study	"Kawashima S, Shimizu Y, Ueki Y, Matsukawa N."	BMC Neurol. 2021 Sep 3;21(1):335. doi: 10.1186/s12883-021-02366-7.	Kawashima S	BMC Neurol	2021	2021-09-04	PMC8414685		10.1186/s12883-021-02366-7				
23510545	Working memory in recurrent brief depression: an fMRI pilot study	"Korsnes MS, L√∂vdahl H, Andersson S, Bj√∂rnerud A, Due-T√∂nnesen P, Endestad T, Malt UF."	J Affect Disord. 2013 Jul;149(1-3):383-92. doi: 10.1016/j.jad.2013.02.017. Epub 2013 Mar 16.	Korsnes MS	J Affect Disord	2013	2013-03-21			10.1016/j.jad.2013.02.017				
32210849	A Multimodal Speech-Gesture Training Intervention for Patients With Schizophrenia and Its Neural Underpinnings - the Study Protocol of a Randomized Controlled Pilot Trial	"Riedl L, Nagels A, Sammer G, Straube B."	Front Psychiatry. 2020 Mar 6;11:110. doi: 10.3389/fpsyt.2020.00110. eCollection 2020.	Riedl L	Front Psychiatry	2020	2020-03-27	PMC7068208		10.3389/fpsyt.2020.00110				
26536050	Intact working memory in non-manifesting LRRK2 carriers--an fMRI study	"Thaler A, Helmich RC, Or-Borichev A, van Nuenen BF, Shapira-Lichter I, Gurevich T, Orr-Urtreger A, Marder K, Bressman S, Bloem BR, Giladi N, Hendler T, Mirelman A; LRRK2 Ashkenazi Jewish consortium."	Eur J Neurosci. 2016 Jan;43(1):106-12. doi: 10.1111/ejn.13120. Epub 2015 Dec 18.	Thaler A	Eur J Neurosci	2016	2015-11-05			10.1111/ejn.13120				
27004598	Effect of rs1063843 in the CAMKK2 gene on the dorsolateral prefrontal cortex	"Yu P, Chen X, Zhao W, Zhang Z, Zhang Q, Han B, Zhai J, Chen M, Du B, Deng X, Ji F, Wang C, Xiang YT, Li D, Wu H, Li J, Dong Q, Chen C."	Hum Brain Mapp. 2016 Jul;37(7):2398-406. doi: 10.1002/hbm.23181. Epub 2016 Mar 23.	Yu P	Hum Brain Mapp	2016	2016-03-24	PMC6867318		10.1002/hbm.23181				
26270056	Cerebral Inefficient Activation in Schizophrenia Patients and Their Unaffected Parents during the N-Back Working Memory Task: A Family fMRI Study	"Jiang S, Yan H, Chen Q, Tian L, Lu T, Tan HY, Yan J, Zhang D."	PLoS One. 2015 Aug 13;10(8):e0135468. doi: 10.1371/journal.pone.0135468. eCollection 2015.	Jiang S	PLoS One	2015	2015-08-14	PMC4536207		10.1371/journal.pone.0135468				
29481525	Association between glutamate/glutamine and blood oxygen level dependent signal in the left dorsolateral prefrontal region during verbal working memory	"Vijayakumari AA, Thomas B, Menon RN, Kesavadas C."	Neuroreport. 2018 Apr 11;29(6):478-482. doi: 10.1097/WNR.0000000000001000.	Vijayakumari AA	Neuroreport	2018	2018-02-27			10.1097/WNR.0000000000001000				
26774462	Stimulus-dependent modulation of working memory for identity monitoring: A functional MRI study	"Duggirala SX, Saharan S, Raghunathan P, Mandal PK."	Brain Cogn. 2016 Feb;102:55-64. doi: 10.1016/j.bandc.2015.12.006. Epub 2016 Jan 8.	Duggirala SX	Brain Cogn	2016	2016-01-18			10.1016/j.bandc.2015.12.006				
35007852	Task-induced subjective fatigue and resting-state striatal connectivity following traumatic brain injury	"Bruijel J, Quaedflieg CWEM, Otto T, van de Ven V, Stapert SZ, van Heugten C, Vermeeren A."	Neuroimage Clin. 2022;33:102936. doi: 10.1016/j.nicl.2022.102936. Epub 2022 Jan 4.	Bruijel J	Neuroimage Clin	2022	2022-01-10	PMC8749448		10.1016/j.nicl.2022.102936				
26985707	fMRI investigation of working memory in adolescents with surgically treated congenital heart disease	"King TZ, Smith KM, Burns TG, Sun B, Shin J, Jones RA, Drossner D, Mahle WT."	Appl Neuropsychol Child. 2017 Jan-Mar;6(1):7-21. doi: 10.1080/21622965.2015.1065185. Epub 2016 Mar 17.	King TZ	Appl Neuropsychol Child	2017	2016-03-18			10.1080/21622965.2015.1065185				
28656805	Verbal working memory-related functional connectivity alterations in boys with attention-deficit/hyperactivity disorder and the effects of methylphenidate	"Wu ZM, Bralten J, An L, Cao QJ, Cao XH, Sun L, Liu L, Yang L, Mennes M, Zang YF, Franke B, Hoogman M, Wang YF."	J Psychopharmacol. 2017 Aug;31(8):1061-1069. doi: 10.1177/0269881117715607. Epub 2017 Jun 28.	Wu ZM	J Psychopharmacol	2017	2017-06-29			10.1177/0269881117715607				
26074021	Altered prefrontal cortex activity during working memory task in Bipolar Disorder: A functional Magnetic Resonance Imaging study in euthymic bipolar I and II patients	"Dell'Osso B, Cinnante C, Di Giorgio A, Cremaschi L, Palazzo MC, Cristoffanini M, Fazio L, Dobrea C, Avignone S, Triulzi F, Bertolino A, Altamura AC."	J Affect Disord. 2015 Sep 15;184:116-22. doi: 10.1016/j.jad.2015.05.026. Epub 2015 May 21.	Dell'Osso B	J Affect Disord	2015	2015-06-16			10.1016/j.jad.2015.05.026				
23638017	Increased cortical activity in binge drinkers during working memory task: a preliminary assessment through a functional magnetic resonance imaging study	"Campanella S, Peigneux P, Petit G, Lallemand F, Saeremans M, No√´l X, Metens T, Nouali M, De Ti√®ge X, De Witte P, Ward R, Verbanck P."	PLoS One. 2013 Apr 25;8(4):e62260. doi: 10.1371/journal.pone.0062260. Print 2013.	Campanella S	PLoS One	2013	2013-05-03	PMC3636085		10.1371/journal.pone.0062260				
21932994	Traumatic brain injury alters the functional brain network mediating working memory	"Kasahara M, Menon DK, Salmond CH, Outtrim JG, Tavares JV, Carpenter TA, Pickard JD, Sahakian BJ, Stamatakis EA."	Brain Inj. 2011;25(12):1170-87. doi: 10.3109/02699052.2011.608210. Epub 2011 Sep 20.	Kasahara M	Brain Inj	2011	2011-09-22			10.3109/02699052.2011.608210				
21865456	Effects of training of processing speed on neural systems	"Takeuchi H, Taki Y, Hashizume H, Sassa Y, Nagase T, Nouchi R, Kawashima R."	J Neurosci. 2011 Aug 24;31(34):12139-48. doi: 10.1523/JNEUROSCI.2948-11.2011.	Takeuchi H	J Neurosci	2011	2011-08-26	PMC6623215		10.1523/JNEUROSCI.2948-11.2011				
21833258	Dissociable memory- and response-related activity in parietal cortex during auditory spatial working memory	"Alain C, Shen D, Yu H, Grady C."	Front Psychol. 2010 Dec 2;1:202. doi: 10.3389/fpsyg.2010.00202. eCollection 2010.	Alain C	Front Psychol	2010	2011-08-12	PMC3153808		10.3389/fpsyg.2010.00202				
27827445	Decrease in fMRI brain activation during working memory performed after sleeping under 10 lux light	"Kang SG, Yoon HK, Cho CH, Kwon S, Kang J, Park YM, Lee E, Kim L, Lee HJ."	Sci Rep. 2016 Nov 9;6:36731. doi: 10.1038/srep36731.	Kang SG	Sci Rep	2016	2016-11-10	PMC5101482		10.1038/srep36731				
21872853	Brain connectivity during resting state and subsequent working memory task predicts behavioural performance	"Sala-Llonch R, Pe√±a-G√≥mez C, Arenaza-Urquijo EM, Vidal-Pi√±eiro D, Bargall√≥ N, Junqu√© C, Bartr√©s-Faz D."	Cortex. 2012 Oct;48(9):1187-96. doi: 10.1016/j.cortex.2011.07.006. Epub 2011 Aug 5.	Sala-Llonch R	Cortex	2012	2011-08-30			10.1016/j.cortex.2011.07.006				
22484308	Being right is its own reward: load and performance related ventral striatum activation to correct responses during a working memory task in youth	"Satterthwaite TD, Ruparel K, Loughead J, Elliott MA, Gerraty RT, Calkins ME, Hakonarson H, Gur RC, Gur RE, Wolf DH."	Neuroimage. 2012 Jul 2;61(3):723-9. doi: 10.1016/j.neuroimage.2012.03.060. Epub 2012 Mar 29.	Satterthwaite TD	Neuroimage	2012	2012-04-10	PMC3358426	NIHMS367681	10.1016/j.neuroimage.2012.03.060				
24365484	Compensatory frontoparietal activity during working memory: an endophenotype of obsessive-compulsive disorder	"de Vries FE, de Wit SJ, Cath DC, van der Werf YD, van der Borden V, van Rossum TB, van Balkom AJ, van der Wee NJ, Veltman DJ, van den Heuvel OA."	Biol Psychiatry. 2014 Dec 1;76(11):878-87. doi: 10.1016/j.biopsych.2013.11.021. Epub 2013 Dec 1.	de Vries FE	Biol Psychiatry	2014	2013-12-25			10.1016/j.biopsych.2013.11.021				
16983390	Prefrontal hyperactivation during working memory task in untreated individuals with major depressive disorder	"Matsuo K, Glahn DC, Peluso MA, Hatch JP, Monkul ES, Najt P, Sanches M, Zamarripa F, Li J, Lancaster JL, Fox PT, Gao JH, Soares JC."	Mol Psychiatry. 2007 Feb;12(2):158-66. doi: 10.1038/sj.mp.4001894. Epub 2006 Sep 19.	Matsuo K	Mol Psychiatry	2007	2006-09-20			10.1038/sj.mp.4001894				
28089970	Spatial Working Memory Impairment in Patients with Non-neuropsychiatric Systemic Lupus Erythematosus: A Blood-oxygen-level Dependent Functional Magnetic Resonance Imaging Study	"Zhu CM, Ma Y, Xie L, Huang JZ, Sun ZB, Duan SX, Lin ZR, Yin JJ, Le HB, Sun DM, Xu WC, Ma SH."	J Rheumatol. 2017 Feb;44(2):201-208. doi: 10.3899/jrheum.160290. Epub 2017 Jan 15.	Zhu CM	J Rheumatol	2017	2017-01-17			10.3899/jrheum.160290				
